STATUS OF PROCUREMENT AND CONTRACT - PANGASINAN IRRIGATION MANAGEMENT OFFICE,,,,,,,,,,,,,,,,,,,,,,,,,
CY 2026 PROJECTS,,,,,,,,,,,,,,,,,,,,,,,,,
"as of March 25, 2026",,,,,,,,,,,,,,,,,,,,,,,,,
No. of Proj.,Name of Project,Municipality,Allocation and ABC,,BID-OUT,For Bidding,Date of Bidding,AWARDED,Date of Award,Contract No.,Contract Amount,Name of Contractor,Remarks,Project Description,,,,,,,,,,,
,,,FY 2026 (Allocation),Approved Budget of the Contract,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PANGASINAN IMO,,,,,,,,,,,,,,,,,,,,,,,,,
General Appropriations Act CY 2026,,,,,,,,,,,,,,,,,,,,,,,,,
20,Bayambang - Macalang Batang SPIP,INFANTA,"10,000,000.00",,,,,,,,,,,"EGPIP Solar - Construction of Solar Powered Pump at Bayambang Macalang Batang Farmers IA, Infanta",,,,,,,,,,,
21,Bongalon SPIP,LABRADOR,"10,000,000.00",,,,,,,,,,,"EGPIP Solar - Construction of Solar Powered Irrigation System, Brgy. Bongalon, Labrador (Augmentation)",,,,,,,,,,,
22,Naguelguel SPIP,LINGAYEN,"10,000,000.00",,,,,,,,,,,"EGPIP Solar - Construction of Solar Powered Pump, Brgy. Naguelguel, Lingayen",,,,,,,,,,,
23,Malasiqui SPIP,MALASIQUI,"10,000,000.00",,,,,,,,,,,"EGPIP Solar - Construction of Solar Powered Pump, Malasiqui",,,,,,,,,,,
24,Canan Norte SPIP,MALASIQUI,"10,000,000.00",,,,,,,,,,,"EGPIP Solar - Construction of Solar Powered Pump, Brgy. Canan Norte, Malasiqui",,,,,,,,,,,
25,Banaoang SPIP,MALASIQUI,"10,000,000.00",,,,,,,,,,,"EGPIP Solar - Construction of Solar Powered Pump at Viba Corn Cluster Association, Malasiqui",,,,,,,,,,,
26,Cabatling SPIP,MALASIQUI,"10,000,000.00",,,,,,,,,,,"EGPIP Solar - Construction/Provision of Solar Powered Pump, Brgy. Cabatling, Malasiqui",,,,,,,,,,,
27,Bunlalacao SPIP,MANGATAREM,"10,000,000.00",,,,,,,,,,,"EGPIP Solar - Construction/Provision of Solar Powered Pump, Brgy. Bunlalacao, Mangatarem",,,,,,,,,,,
28,Mabalacat SPIP,MANGATAREM,"30,000,000.00",,,,,,,,,,,"EGPIP Solar - Construction/Provision of 3 units Solar Powered Pump at Mabalacat Farmers Communal IA, Mangatarem (Augmentation)",,,,,,,,,,,
29,Amanoaoac SPIP,MAPANDAN,"10,000,000.00",,,,,,,,,,,"EGPIP Solar - Construction of Solar Powered Pump, Brgy. Amanoaoac, Mapandan (Augmentation)",,,,,,,,,,,
30,Leet SPIP,SANTA BARBARA,"10,000,000.00",,,,,,,,,,,"EGPIP Solar - Construction of Solar Powered Pump at Sekder Leet Farmers IA, Sta. Barbara (Augmentation)",,,,,,,,,,,
31,Banaoag SPIP,SANTA BARBARA,"10,000,000.00",,,,,,,,,,,"EGPIP Solar - Construction of Solar Powered Pump at Mabiskeg Banaoag Farmers IA, Sta. Barbara (Augmentation)",,,,,,,,,,,
32,Bolaoen SPIP,SUAL,"10,000,000.00",,,,,,,,,,,"EGPIP Solar - Construction of Solar Powered Pump, Brgy. Bolaoen, Sual (Augmentation)",,,,,,,,,,,
33,Cabayaoasan PIS,BUGALLON,"15,000,000.00",,,,,,,,,,,"EGPIP Solar - Construction of Cabayaoasan Pump Irrigation Project, Brgy. Cabayaoasan, 2 Units Well Development (250 m)",,,,,,,,,,,
34,Salavante PIS,URBIZTONDO,"15,000,000.00",,,,,,,,,,,"EGPIP Solar - Construction of Salavante Pump Irrigation Project, Brgy. Salavante, 2 Units Well Development (250 m)",,,,,,,,,,,
35,Acop SPIP,ROSALES,"10,000,000.00",,,,,,,,,,,"EGPIP Solar - Construction of Solar Powered Pump, Brgy. Acop, Rosales (Augmentation)",,,,,,,,,,,
